"Product Group Number","Product Group Name","Global Currency","FY26-Q1","FY26-Q2","FY26-Q3","FY26-Q4","FY27-Q1","FY27-Q2","FY27-Q3","FY27-Q4"
"MG0005","Baking Ingredients","USD","571847.0171426417","454746.9127540675","391192.4345796668","494922.3785236239","583283.9574854947","463841.8510091489","399016.28327126015","504820.8260940964"
"PG0001","Baby Care","USD","3739993.6629975857","3843754.582058472","4065465.302278013","3752803.170465928","3814793.5362575375","3920629.673699642","4146774.608323573","3827859.233875247"
"PG0002","Bakery Products","USD","6528247.500049026","6667383.422817329","6333057.17458863","7156348.789945015","6658812.450050007","6800731.091273676","6459718.318080403","7299475.765743916"
"PG0003","Baking Ingredients","USD","4469036.548032559","4365804.008479895","4269496.633444433","4587952.817243113","4558417.278993211","4453120.088649494","4354886.566113322","4679711.873587975"
"PG0004","Beverages","USD","3283808.4646641677","3676844.742858626","3553720.449496044","3494820.4943811614","3349484.633957451","3750381.6377157983","3624794.8584859646","3564716.904268785"
"PG0005","Breakfast Foods","USD","3317529.6426265193","3413802.5264895423","3524969.1657930063","3526286.2300909315","3383880.23547905","3482078.5770193334","3595468.5491088666","3596811.9546927502"
"PG0006","Canned Goods","USD","2827880.3183115944","2931171.474050926","3099020.8611692954","3365259.903868185","2884437.9246778265","2989794.9035319444","3161001.278392682","3432565.101945549"
"PG0007","Condiments","USD","6742680.844339635","7134374.354119873","7079121.053302631","7335299.711037865","6877534.461226427","7277061.84120227","7220703.474368683","7482005.705258622"
"PG0008","Dairy Alternatives","USD","3223293.8435765663","3019672.491491556","3244896.629229987","3176955.5913018896","3287759.7204480977","3080065.9413213874","3309794.561814587","3240494.7031279276"
"PG0009","Frozen Foods","USD","5702993.385211659","6006682.985549733","5874442.670034533","5564832.530404078","5817053.252915892","6126816.645260728","5991931.523435225","5676129.18101216"
"PG0010","Grains","USD","4459103.562669504","5105688.109448353","4900030.431840189","4969511.623241958","4548285.6339228945","5207801.87163732","4998031.040476992","5068901.855706797"
"PG0011","Health Foods","USD","2964718.773833295","2920195.127620648","2813706.482774746","2782855.0245713126","3024013.149309961","2978599.0301730614","2869980.612430241","2838512.125062739"
"PG0012","Household Products","USD","6312741.002468507","6787070.896399259","6641207.841630933","6714932.072701304","6438995.822517877","6922812.314327245","6774031.998463552","6849230.714155331"
"PG0013","Nuts & Spreads","USD","8641294.413437909","8741308.656123692","9148762.954414407","8715976.570623996","8814120.301706668","8916134.829246167","9331738.213502696","8890296.102036476"
"PG0014","Personal Care","USD","2846685.1773149003","2991320.6199477282","3182608.812635047","3102592.0139023266","2903618.8808611985","3051147.0323466826","3246260.9888877477","3164643.854180373"
"PG0015","Pet Care","USD","4733647.688871888","4785753.055680667","4973965.755031832","4690564.377815611","4828320.642649326","4881468.116794281","5073445.070132468","4784375.665371923"
"PG0016","Snacks","USD","3363437.7219096506","3542036.4557464113","3617341.1955863275","3342709.7279576096","3430706.4763478437","3612877.18486134","3689688.019498054","3409563.922516762"
"PG0017","Sweeteners","USD","2996188.4135617116","3642972.929694989","3174504.240470779","3340604.8882725183","3056112.181832946","3715832.388288889","3237994.3252801946","3407416.9860379687"
